la_code,name,type,majority_party,majority_party_id,governing_coalition,conservative_councillors,labour_councillors,lib_dem_councillors,green_councillors,ukip_councillors,plaid_cymru_councillors,snp_councillors,independent_councillors,vacant,total_councillors,boundary,notes,url,last_update
S12000015,Fife,Scotland,No Overall Control,noc,SNP/Labour,15,25,7,0,0,0,28,0,0,75,,,http://www.fifedirect.org.uk/news/index.cfm?fuseaction=cllr.home,2017-05-28
S12000017,Highland,Scotland,No Overall Control,noc,Independent/Liberal Democrat/Labour,10,3,10,1,0,0,22,28,0,74,,Highland Alliance 6,http://www.highland.gov.uk/councillors/name,2017-05-28
S12000018,Inverclyde,Scotland,No Overall Control,noc,Labour Minority,2,8,1,0,0,0,7,4,0,22,,,http://www.inverclyde.gov.uk/meetings/councillors,2017-05-28
S12000019,Midlothian,Scotland,No Overall Control,noc,Labour Minority,5,7,0,0,0,0,6,0,0,18,,,https://midlothian.cmis.uk.com/Live/Councillors.aspx,2017-05-28
S12000020,Moray,Scotland,No Overall Control,noc,Conservative/Independent,8,1,0,0,0,0,9,7,1,26,,,http://www.moray.gov.uk/moray_standard/page_1247.html,2017-05-28
S12000021,North Ayrshire,Scotland,No Overall Control,noc,Labour Minority,7,11,0,0,0,0,11,4,0,33,,,https://north-ayrshire.cmis.uk.com/North-Ayrshire/-ayrshire.cmis.uk.com/north-ayrshire/Councillors/CurrentCouncillors/tabid/98/ScreenMode/Alphabetical/Default.aspx,2017-05-28
S12000023,Orkney Islands,Scotland,Independent,8,Independent,0,0,0,0,0,0,0,21,0,21,,,http://www.orkney.gov.uk/Council/Councillors/councillor-profiles.htm,2017-05-28
S12000024,Perth and Kinross,Scotland,No Overall Control,noc,Conservative/Liberal Democrat/Independent,17,1,4,0,0,0,15,3,0,40,,,https://perth-and-kinross.cmis.uk.com/perth-and-kinross/Councillors/OverviewofCouncillors.aspx,2017-05-28
S12000026,Scottish Borders,Scotland,No Overall Control,noc,Conservative/Independent,15,0,2,0,0,0,9,8,0,34,,,https://www.scotborders.gov.uk/councillors/name,2017-05-31
S12000027,Shetland Islands,Scotland,Independent,8,Independent,0,0,0,0,0,0,1,21,0,22,,,http://www.shetland.gov.uk/about_your_councillors/,2017-05-31
S12000028,South Ayrshire,Scotland,No Overall Control,noc,SNP/Labour/Independent,12,5,0,0,0,0,9,2,0,28,,,http://www.south-ayrshire.gov.uk/councillors/all/,2017-05-31
S12000029,South Lanarkshire,Scotland,No Overall Control,noc,SNP Minority,14,19,1,0,0,0,25,5,0,64,,,http://www.southlanarkshire.gov.uk/councillors/name,2017-05-28
S12000030,Stirling,Scotland,No Overall Control,noc,SNP/Labour,7,4,0,1,0,0,9,2,0,23,,,http://my.stirling.gov.uk/councillors/index?theme=MyStirling,2017-05-28
S12000033,Aberdeen City,Scotland,No Overall Control,noc,Conservative/Labour/Independent,11,9,3,0,0,0,19,3,0,45,,Independent Alliance Group 3,http://committees.aberdeencity.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-28
S12000034,Aberdeenshire,Scotland,No Overall Control,noc,Conservative/Liberal Democrat/Independent,23,1,14,1,0,0,21,10,0,70,,,http://committees.aberdeenshire.gov.uk/Committees.aspx?councillors=1,2017-05-31
